step,tl_name,actions,phase,reward
25237,미래부동산삼거리,0,1,0
25237,충대농대삼거리,0,1,0
25237,다솔APT삼거리,0,1,0
25237,유성구청네거리,0,0,0
25237,강변아파트삼거리,0,2,0
25237,보건환경연구원(단),0,4,0
25237,갑천네거리,0,5,0
25237,구성삼거리,0,2,0
25237,과기원삼거리,0,2,0
25237,카이스트교삼거리,0,1,0
25237,갑천(단),0,0,0
25238,미래부동산삼거리,0,1,0
25238,충대농대삼거리,0,2,0
25238,다솔APT삼거리,0,1,0
25238,유성구청네거리,0,0,0
25238,강변아파트삼거리,0,2,0
25238,보건환경연구원(단),0,4,0
25238,갑천네거리,0,5,0
25238,구성삼거리,0,2,0
25238,과기원삼거리,0,2,0
25238,카이스트교삼거리,0,1,0
25238,갑천(단),0,1,0
25239,미래부동산삼거리,0,2,0
25239,충대농대삼거리,0,2,0
25239,다솔APT삼거리,0,2,0
25239,유성구청네거리,0,0,0
25239,강변아파트삼거리,0,2,0
25239,보건환경연구원(단),0,4,0
25239,갑천네거리,0,5,0
25239,구성삼거리,0,2,0
25239,과기원삼거리,0,2,0
25239,카이스트교삼거리,0,1,0
25239,갑천(단),0,1,0
25240,미래부동산삼거리,0,2,0
25240,충대농대삼거리,0,2,0
25240,다솔APT삼거리,0,2,0
25240,유성구청네거리,0,0,0
25240,강변아파트삼거리,0,2,0
25240,보건환경연구원(단),0,4,0
25240,갑천네거리,0,5,0
25240,구성삼거리,0,2,0
25240,과기원삼거리,0,2,0
25240,카이스트교삼거리,0,1,0
25240,갑천(단),0,1,0
25241,미래부동산삼거리,0,2,0
25241,충대농대삼거리,0,2,0
25241,다솔APT삼거리,0,2,0
25241,유성구청네거리,0,0,0
25241,강변아파트삼거리,0,2,0
25241,보건환경연구원(단),0,4,0
25241,갑천네거리,0,5,0
25241,구성삼거리,0,2,0
25241,과기원삼거리,0,2,0
25241,카이스트교삼거리,0,1,0
25241,갑천(단),0,2,0
25242,미래부동산삼거리,0,2,0
25242,충대농대삼거리,0,2,0
25242,다솔APT삼거리,0,2,0
25242,유성구청네거리,0,0,0
25242,강변아파트삼거리,0,2,0
25242,보건환경연구원(단),0,4,0
25242,갑천네거리,0,5,0
25242,구성삼거리,0,2,0
25242,과기원삼거리,0,2,0
25242,카이스트교삼거리,0,1,0
25242,갑천(단),0,2,0
25243,미래부동산삼거리,0,2,0
25243,충대농대삼거리,0,2,0
25243,다솔APT삼거리,0,2,0
25243,유성구청네거리,0,0,0
25243,강변아파트삼거리,0,2,0
25243,보건환경연구원(단),0,4,0
25243,갑천네거리,0,5,0
25243,구성삼거리,0,2,0
25243,과기원삼거리,0,2,0
25243,카이스트교삼거리,0,1,0
25243,갑천(단),0,2,0
25244,미래부동산삼거리,0,2,0
25244,충대농대삼거리,0,2,0
25244,다솔APT삼거리,0,2,0
25244,유성구청네거리,0,0,0
25244,강변아파트삼거리,0,2,0
25244,보건환경연구원(단),0,4,0
25244,갑천네거리,0,5,0
25244,구성삼거리,0,2,0
25244,과기원삼거리,0,2,0
25244,카이스트교삼거리,0,1,0
25244,갑천(단),0,2,0
